Rooms,Price,Distance,Landsize,BuildingArea
4,2140000.0,3.3,183.0,145.0
2,1750000.0,3.3,162.0,
2,980000.0,3.3,79.0,68.0
3,2030000.0,3.3,152.0,
3,1740000.0,3.3,147.0,134.0
3,2800000.0,3.3,0.0,
1,985000.0,3.3,81.0,54.0
4,2000000.0,6.4,853.0,263.0
3,1110000.0,6.4,208.0,
3,1492000.0,6.4,411.0,
4,1717500.0,6.4,599.0,203.0
5,2840000.0,6.4,809.0,165.0
2,525500.0,6.4,88.0,60.0
2,805000.0,6.4,155.0,140.0
2,465000.0,6.4,0.0,
3,2000000.0,6.4,686.0,
3,1540000.0,6.4,592.0,
2,820000.0,6.4,183.0,
4,1830000.0,6.4,606.0,112.0
4,2100000.0,6.4,575.0,271.0
3,865000.0,6.4,180.0,131.0
2,390000.0,6.4,0.0,60.0
2,650000.0,6.4,0.0,
2,512000.0,6.4,0.0,61.0
3,1165000.0,6.4,979.0,
4,1900000.0,6.4,556.0,272.0
3,1485000.0,6.4,597.0,
4,1950000.0,6.4,589.0,210.0
3,520000.0,13.8,352.0,242.0
5,1525000.0,13.8,729.0,268.0
2,720000.0,13.8,292.0,125.0
3,1120000.0,13.8,506.0,120.0
4,780000.0,13.8,655.0,
4,1780000.0,13.8,1057.0,220.0
3,630000.0,13.8,311.0,94.0
2,406000.0,13.8,65.0,
3,660000.0,13.8,602.0,123.0
3,683500.0,13.8,530.0,
2,580000.0,13.8,225.0,93.0
3,1335000.0,13.8,777.0,22.0
3,800000.0,13.8,280.0,
2,510000.0,13.8,127.0,76.0
4,1070000.0,13.8,695.0,
2,425000.0,13.8,115.0,57.0
3,605000.0,13.8,230.0,
3,705000.0,13.8,197.0,152.0
2,391000.0,13.8,0.0,65.0
2,440000.0,13.8,0.0,
4,845000.0,13.8,745.0,130.0
3,743000.0,13.8,211.0,176.0
3,730000.0,13.8,69.0,141.0
3,635000.0,13.8,625.0,
2,620000.0,13.8,168.0,
2,447000.0,13.8,137.0,77.0
3,730000.0,13.8,70.0,
3,678000.0,13.8,606.0,87.0
2,580000.0,13.8,175.0,76.0
3,712000.0,13.8,363.0,
3,840000.0,13.8,534.0,136.0
3,980000.0,13.8,724.0,
3,605100.0,13.8,265.0,
3,880000.0,13.8,577.0,
3,577000.0,13.8,205.0,113.0
4,1030000.0,13.8,797.0,
3,605000.0,13.8,181.0,
3,753000.0,13.8,529.0,
2,857000.0,13.8,675.0,100.0
3,1500000.0,13.8,929.0,
3,730000.0,13.8,70.0,3.0
3,900000.0,13.8,697.0,
3,740000.0,13.8,604.0,
4,931000.0,13.8,532.0,
2,535600.0,13.8,154.0,91.0
5,1085000.0,11.1,592.0,251.0
3,781000.0,11.1,533.0,117.0
3,750000.0,11.1,554.0,
2,421000.0,11.1,77.0,77.0
3,1405000.0,11.1,655.0,
3,683000.0,11.1,534.0,167.0
3,623000.0,11.1,540.0,
3,720000.0,11.1,0.0,130.0
3,588000.0,11.1,328.0,118.0
3,710000.0,11.1,540.0,116.0
4,875000.0,11.1,559.0,169.0
3,700000.0,11.1,554.0,
2,640000.0,11.1,252.0,
4,650000.0,11.1,558.0,
3,675000.0,11.1,171.0,109.0
3,708000.0,11.1,585.0,97.0
4,965000.0,11.1,851.0,
3,680000.0,11.1,551.0,
3,770000.0,11.1,602.0,603.0
3,923000.0,11.1,740.0,
4,693000.0,11.1,315.0,170.0
3,620000.0,11.1,276.0,100.0
3,728500.0,11.1,531.0,157.0
3,931000.0,11.1,590.0,160.0
3,988000.0,11.1,715.0,
3,590000.0,11.1,561.0,
2,610000.0,11.1,691.0,
3,815000.0,11.1,555.0,130.0
4,970000.0,11.1,708.0,
4,760000.0,11.1,668.0,
4,847500.0,11.1,252.0,
4,1200000.0,11.1,633.0,158.0
3,700000.0,11.1,557.0,
3,625000.0,11.1,536.0,
2,292000.0,11.1,153.0,70.0
2,599000.0,6.3,0.0,76.0
2,550000.0,6.3,861.0,
3,995000.0,6.3,0.0,100.0
3,1205000.0,6.3,101.0,105.0
3,1939000.0,6.3,296.0,150.0
1,421500.0,6.3,0.0,
3,1870000.0,6.3,217.0,116.0
2,678000.0,6.3,0.0,
3,1918000.0,6.3,0.0,165.0
2,660000.0,6.3,0.0,
3,2050000.0,6.3,205.0,116.0
2,700000.0,6.3,0.0,
2,3625000.0,6.3,0.0,
4,3000000.0,6.3,1581.0,
5,1525000.0,6.3,693.0,
3,735000.0,6.3,2113.0,14.0
2,825000.0,6.3,0.0,
3,1586000.0,6.3,246.0,
2,645000.0,6.3,0.0,
1,1435000.0,6.3,144.0,107.0
1,280000.0,6.3,0.0,38.0
1,400000.0,6.3,0.0,
2,1780000.0,6.3,0.0,
2,592500.0,6.3,0.0,73.0
2,1210000.0,6.3,249.0,96.0
4,2801000.0,6.3,624.0,222.0
1,390000.0,6.3,881.0,
3,1800000.0,6.3,405.0,121.0
4,2200000.0,6.3,495.0,163.0
1,324000.0,6.3,0.0,
6,5525000.0,6.3,1491.0,516.0
2,1125000.0,6.3,169.0,
3,2250000.0,6.3,301.0,
3,2360000.0,6.3,336.0,
2,1900000.0,6.3,207.0,
1,440000.0,6.3,0.0,53.0
2,490000.0,6.3,0.0,
3,2365000.0,6.3,316.0,
3,1300000.0,6.3,212.0,106.0
3,732000.0,6.3,0.0,
2,704000.0,6.3,0.0,74.0
2,620000.0,6.3,0.0,98.0
3,1900000.0,6.3,328.0,108.0
1,315000.0,6.3,0.0,
1,450000.0,6.3,0.0,
2,710000.0,6.3,2471.0,80.0
2,872000.0,6.3,1194.0,
2,598000.0,6.3,0.0,88.0
3,1285000.0,6.3,186.0,80.0
4,3660000.0,6.3,421.0,
2,520000.0,6.3,0.0,76.0
4,3625000.0,6.3,709.0,251.0
4,4200000.0,6.3,563.0,333.0
3,1101000.0,6.3,103.0,3.0
3,3512500.0,6.3,617.0,285.0
4,2000000.0,6.3,544.0,
3,869000.0,6.3,0.0,91.0
5,2810000.0,6.3,617.0,
2,565000.0,6.3,0.0,
1,567000.0,6.3,0.0,53.0
2,546000.0,6.3,0.0,
2,471500.0,6.3,0.0,
2,455000.0,5.9,0.0,
3,940000.0,5.9,298.0,108.0
2,467000.0,5.9,0.0,62.0
3,1380000.0,5.9,277.0,174.0
2,490000.0,5.9,423.0,62.0
4,1850000.0,5.9,478.0,270.0
3,1284000.0,5.9,623.0,
3,971000.0,5.9,285.0,128.0
2,710000.0,5.9,214.0,77.0
6,2425000.0,5.9,1014.0,435.0
2,750000.0,5.9,226.0,92.0
2,1053000.0,5.9,269.0,109.0
3,1377000.0,5.9,417.0,168.0
3,970000.0,5.9,350.0,125.0
2,940000.0,5.9,330.0,
2,751000.0,5.9,118.0,79.0
2,950000.0,5.9,173.0,102.0
2,685000.0,5.9,228.0,90.0
3,1230000.0,5.9,594.0,148.0
2,636500.0,5.9,0.0,
3,910000.0,5.9,317.0,
2,770000.0,5.9,226.0,87.0
3,960000.0,5.9,229.0,
4,890000.0,5.9,300.0,185.0
2,965000.0,5.9,170.0,
3,1440000.0,5.9,487.0,131.0
2,955000.0,5.9,255.0,
2,450000.0,5.9,0.0,
3,801000.0,5.9,431.0,
3,1000000.0,5.9,440.0,120.0
3,1435000.0,5.9,532.0,147.0
1,390000.0,5.9,0.0,58.0
3,1425000.0,5.9,495.0,139.0
4,1340000.0,5.9,683.0,232.0
3,955000.0,5.9,263.0,117.0
4,1100000.0,5.9,559.0,195.0
3,1255000.0,5.9,308.0,
2,432000.0,5.9,0.0,62.0
4,1640000.0,5.9,562.0,204.0
6,1430000.0,5.9,461.0,286.0
2,610000.0,5.9,301.0,104.0
3,940000.0,5.9,491.0,127.0
3,890000.0,5.9,242.0,110.0
3,1180000.0,5.9,617.0,149.0
4,1480000.0,5.9,597.0,180.0
2,1150000.0,5.9,387.0,
3,1350000.0,5.9,575.0,
5,1905000.0,5.9,521.0,
2,865000.0,5.9,146.0,132.0
2,705000.0,5.9,113.0,
2,442000.0,5.9,0.0,62.0
2,540000.0,5.9,0.0,
3,1037500.0,5.9,506.0,110.0
3,1050000.0,5.9,318.0,160.0
2,440000.0,5.9,0.0,65.0
2,1010000.0,5.9,325.0,
4,1430000.0,5.9,418.0,158.0
2,570000.0,5.9,0.0,
2,690000.0,5.9,0.0,
3,1291000.0,5.9,414.0,
3,1130000.0,5.9,272.0,157.0
3,1135000.0,5.9,296.0,104.0
4,950000.0,5.9,298.0,147.0
3,790000.0,5.9,0.0,148.0
2,390000.0,5.9,1957.0,69.0
4,1345000.0,5.9,552.0,155.0
3,1381500.0,5.9,416.0,168.0
3,940000.0,5.9,285.0,172.0
3,995000.0,5.9,314.0,177.0
3,1050000.0,5.9,536.0,
3,786000.0,5.9,576.0,120.0
2,705000.0,5.9,252.0,108.0
2,760000.0,5.9,124.0,77.0
3,487500.0,5.9,0.0,
3,1000000.0,5.9,200.0,144.0
4,1110000.0,5.9,349.0,
4,1300000.0,5.9,664.0,
3,1060000.0,5.9,555.0,
3,1410000.0,5.9,459.0,
3,1305000.0,5.9,278.0,166.0
3,932500.0,5.9,254.0,
3,965000.0,5.9,216.0,
3,1215000.0,5.9,452.0,175.0
2,545000.0,5.9,194.0,71.0
4,1705000.0,5.9,598.0,273.0
3,970000.0,5.9,194.0,
2,925000.0,5.9,407.0,
4,2650000.0,11.0,753.0,399.0
3,1670000.0,11.0,599.0,220.0
3,955000.0,11.0,203.0,
3,2050000.0,11.0,310.0,315.0
2,500000.0,11.0,710.0,
2,1575000.0,11.0,679.0,
3,1555000.0,11.0,731.0,149.0
3,1100000.0,11.0,276.0,178.0
3,1337000.0,11.0,583.0,112.0
8,2950000.0,11.0,1472.0,618.0
4,2215000.0,11.0,681.0,
3,1518000.0,11.0,516.0,145.0
3,1710000.0,11.0,806.0,101.0
3,1655000.0,11.0,780.0,152.0
4,1550000.0,11.0,780.0,180.0
3,1662000.0,11.0,351.0,228.0
3,1665000.0,11.0,702.0,145.0
2,1445000.0,11.0,704.0,
5,3510000.0,11.0,755.0,444.0
3,968000.0,11.0,227.0,
3,900000.0,11.0,153.0,110.0
3,1500000.0,11.0,545.0,
5,2752000.0,11.0,1075.0,390.0
3,1500000.0,11.0,710.0,139.0
4,1800000.0,11.0,749.0,206.0
3,1830000.0,11.0,724.0,168.0
3,1415000.0,11.0,605.0,111.0
2,1440000.0,11.0,687.0,104.0
4,1250000.0,11.0,321.0,199.0
3,1422000.0,11.0,583.0,
5,1600000.0,11.0,700.0,266.0
4,1860000.0,11.0,696.0,274.0
3,1710000.0,11.0,295.0,
4,1790000.0,11.0,514.0,240.0
4,1950000.0,11.0,844.0,278.0
3,1600000.0,11.0,637.0,
3,1320000.0,11.0,1063.0,
3,1650000.0,11.0,697.0,164.0
2,995000.0,12.2,583.0,
3,1250000.0,12.2,842.0,
3,1045000.0,12.2,467.0,
4,1200000.0,12.2,372.0,201.0
2,1075000.0,12.2,695.0,114.0
4,1500000.0,12.2,621.0,203.0
3,1120000.0,12.2,723.0,
2,700000.0,12.2,367.0,110.0
3,761000.0,12.2,400.0,94.0
4,1270000.0,12.2,724.0,
4,1510000.0,12.2,526.0,
3,1365000.0,12.2,792.0,792.0
4,1100000.0,12.2,803.0,152.0
4,1415000.0,12.2,724.0,
2,690000.0,12.2,216.0,90.0
3,1631000.0,12.2,782.0,215.0
4,1500000.0,12.2,593.0,255.0
3,1060000.0,12.2,772.0,
5,1529500.0,12.2,585.0,317.0
2,600000.0,12.2,153.0,80.0
2,535000.0,12.2,72.0,
3,785000.0,12.2,557.0,
4,1240000.0,12.2,766.0,192.0
2,700000.0,12.2,192.0,88.0
4,1350000.0,12.2,727.0,
2,1110000.0,12.2,586.0,86.0
3,1305000.0,12.2,760.0,120.0
3,855000.0,12.2,320.0,85.0
3,900500.0,12.2,256.0,134.0
3,1200000.0,12.2,839.0,198.0
3,830000.0,12.2,212.0,130.0
3,850000.0,10.5,593.0,118.0
3,750000.0,10.5,0.0,103.0
3,851000.0,10.5,557.0,181.0
3,848000.0,10.5,542.0,
4,806000.0,10.5,350.0,
4,1155000.0,10.5,569.0,225.0
3,670000.0,10.5,671.0,
4,1200000.0,10.5,673.0,
3,636000.0,10.5,571.0,
3,680000.0,10.5,570.0,120.0
4,1160000.0,10.5,789.0,
3,750000.0,10.5,529.0,
3,627500.0,10.5,550.0,143.0
3,880000.0,10.5,339.0,
4,950000.0,10.5,761.0,281.0
4,1600000.0,10.5,1801.0,
2,585000.0,10.5,136.0,
3,650000.0,10.5,574.0,
3,725000.0,10.5,606.0,
3,665000.0,10.5,289.0,
3,560500.0,10.5,177.0,
3,615000.0,10.5,649.0,
3,845000.0,10.5,704.0,
3,585000.0,10.5,322.0,
2,440000.0,10.5,263.0,
3,850000.0,10.5,766.0,149.0
5,850000.0,10.5,574.0,
3,705000.0,10.5,581.0,106.0
4,1100000.0,10.5,873.0,395.0
3,892500.0,10.5,586.0,118.0
3,695000.0,10.5,588.0,
2,522500.0,10.5,220.0,101.0
4,680000.0,10.5,554.0,140.0
3,500000.0,10.5,260.0,
2,550000.0,10.5,158.0,
3,730000.0,10.5,705.0,
3,875000.0,10.5,812.0,117.0
3,850000.0,10.5,585.0,
3,635000.0,10.5,597.0,
4,762000.0,10.5,589.0,150.0
2,411000.0,10.5,0.0,85.0
4,790000.0,10.5,570.0,
4,605000.0,10.5,569.0,
3,805000.0,10.5,593.0,103.0
4,890000.0,10.5,585.0,
3,795000.0,10.5,549.0,
3,634000.0,10.5,582.0,153.0
3,642000.0,10.5,590.0,
3,863000.0,10.5,638.0,
3,740000.0,10.5,607.0,
4,1819000.0,6.6,244.0,180.0
2,410000.0,6.6,0.0,61.0
1,280000.0,6.6,0.0,
2,1015000.0,6.6,114.0,120.0
2,502500.0,6.6,0.0,65.0
2,520000.0,6.6,0.0,58.0
2,442000.0,6.6,0.0,61.0
3,1193000.0,6.6,178.0,100.0
2,416000.0,6.6,0.0,49.0
2,820000.0,6.6,0.0,
2,474000.0,6.6,0.0,59.0
2,981000.0,6.6,159.0,84.0
3,1690000.0,6.6,339.0,159.0
2,540000.0,6.6,483.0,51.0
3,1080000.0,6.6,157.0,
1,500000.0,6.6,0.0,
2,497500.0,6.6,0.0,
2,2100000.0,9.7,659.0,123.0
4,1800000.0,9.7,715.0,218.0
2,1255000.0,9.7,208.0,129.0
3,1070000.0,9.7,206.0,112.0
5,2570000.0,9.7,715.0,420.0
4,2400000.0,9.7,744.0,226.0
3,2200000.0,9.7,651.0,266.0
5,3250000.0,9.7,651.0,410.0
2,806000.0,9.7,122.0,97.0
6,4000000.0,9.7,2051.0,449.0
2,1215000.0,9.7,0.0,
5,2250000.0,9.7,600.0,356.0
2,812000.0,9.7,206.0,
3,1140000.0,9.7,175.0,
3,2330000.0,9.7,853.0,
5,2800000.0,9.7,678.0,349.0
2,605000.0,9.7,0.0,
3,1255000.0,9.7,308.0,
2,1850000.0,9.7,1015.0,166.0
2,805000.0,9.7,209.0,
3,700000.0,9.7,188.0,110.0
4,2130000.0,9.7,664.0,
2,500000.0,9.7,0.0,72.0
3,2125000.0,9.7,699.0,252.0
4,1800000.0,9.7,577.0,200.0
2,635000.0,9.7,0.0,70.0
2,526000.0,9.7,0.0,73.0
1,390000.0,9.7,740.0,
3,905000.0,9.7,281.0,150.0
4,1750000.0,9.7,453.0,308.0
2,760000.0,9.7,121.0,100.0
4,3180000.0,9.7,1148.0,
3,1367000.0,9.7,219.0,164.0
5,3600000.0,9.7,678.0,
5,2550000.0,9.7,642.0,
4,1400000.0,9.7,241.0,240.0
4,3270000.0,9.7,935.0,241.0
2,625000.0,9.7,115.0,104.0
2,700000.0,9.7,104.0,
3,1860000.0,9.7,671.0,465.0
4,2730000.0,9.7,674.0,336.0
5,2020000.0,9.7,611.0,
2,460000.0,9.7,0.0,79.0
4,2250000.0,9.7,832.0,
2,1053000.0,9.7,231.0,98.0
3,1800000.0,9.7,380.0,
3,1472000.0,9.7,306.0,170.0
3,2120000.0,9.7,651.0,
3,1910000.0,9.7,697.0,
2,754000.0,9.7,87.0,88.0
5,3000000.0,9.7,671.0,
5,3400000.0,9.7,739.0,502.0
4,2188000.0,9.7,752.0,253.0
2,755000.0,9.7,213.0,92.0
4,2900000.0,9.7,596.0,
4,3290000.0,9.7,1007.0,350.0
5,2665000.0,9.7,674.0,
4,1801000.0,9.7,583.0,
4,2410000.0,9.7,685.0,207.0
2,650000.0,9.7,0.0,150.0
4,2275000.0,9.7,842.0,
5,2810000.0,9.7,1468.0,
3,1385000.0,9.7,190.0,
4,2000000.0,9.7,739.0,291.0
4,1900000.0,9.7,665.0,155.0
3,3401000.0,9.7,706.0,166.0
3,1750000.0,9.7,613.0,193.0
5,4000000.0,9.7,1437.0,
3,1100000.0,9.7,259.0,
5,3020000.0,9.7,715.0,420.0
3,2950000.0,9.7,650.0,
5,2450000.0,9.7,981.0,260.0
3,1912000.0,9.7,844.0,
2,730000.0,9.7,130.0,80.0
5,3900000.0,9.7,0.0,
3,1500000.0,9.7,404.0,190.0
3,1850000.0,9.7,607.0,
4,1700000.0,9.7,672.0,115.0
2,1010000.0,9.7,1611.0,
3,1315000.0,9.2,260.0,167.0
3,1500000.0,9.2,778.0,154.0
4,3230000.0,9.2,1135.0,275.0
2,1080000.0,9.2,253.0,
7,1350000.0,9.2,942.0,
4,1905000.0,9.2,647.0,185.0
5,3300000.0,9.2,760.0,477.0
4,1900000.0,9.2,642.0,215.0
3,2251000.0,9.2,888.0,137.0
4,2205000.0,9.2,750.0,214.0
3,1265000.0,9.2,347.0,160.0
3,2000000.0,9.2,772.0,
4,1750000.0,9.2,673.0,185.0
3,1450000.0,9.2,665.0,124.0
4,2614000.0,9.2,772.0,150.0
4,1825000.0,9.2,736.0,225.0
4,2550000.0,9.2,847.0,
4,1570000.0,9.2,546.0,
5,3250000.0,9.2,886.0,520.0
4,1750000.0,9.2,667.0,
3,1150000.0,9.2,207.0,144.0
3,1575000.0,9.2,645.0,
6,1505000.0,9.2,724.0,
4,1572000.0,9.2,662.0,330.0
4,1500000.0,9.2,610.0,
4,1400000.0,9.2,283.0,
5,1750000.0,9.2,705.0,365.0
4,1850000.0,9.2,619.0,254.0
3,1480000.0,9.2,992.0,
4,1400000.0,9.2,714.0,
4,2130000.0,9.2,1274.0,275.0
3,1050000.0,9.2,244.0,
5,3690000.0,9.2,624.0,154.0
4,1740000.0,9.2,610.0,275.0
4,2575000.0,9.2,657.0,355.0
4,1388800.0,9.2,517.0,247.0
4,1702000.0,9.2,715.0,
4,1800000.0,9.2,587.0,165.0
4,2910000.0,9.2,1070.0,247.0
2,1400000.0,9.2,694.0,
2,860000.0,9.2,204.0,
4,1670000.0,9.2,689.0,
5,1500000.0,9.2,800.0,
5,2200000.0,9.2,900.0,355.0
4,1350000.0,9.2,815.0,
5,2070000.0,9.2,1138.0,
3,1300000.0,9.2,464.0,
3,1700000.0,9.2,763.0,168.0
3,1750000.0,9.2,854.0,
3,980000.0,9.2,542.0,
3,1230000.0,9.2,310.0,188.0
7,2600000.0,9.2,637.0,529.0
4,1950000.0,9.2,665.0,232.0
5,1750000.0,9.2,710.0,170.0
5,2000000.0,9.2,1002.0,244.0
3,1480000.0,9.2,605.0,116.0
4,3000000.0,9.2,1247.0,50.0
3,1818000.0,9.2,722.0,90.0
4,2170000.0,9.2,1040.0,
4,2525000.0,9.2,1235.0,196.0
4,3360000.0,9.2,904.0,420.0
4,1620000.0,9.2,654.0,
3,1903000.0,9.2,713.0,720.0
4,1712000.0,9.2,639.0,
4,1720000.0,9.2,869.0,170.0
4,1670000.0,9.2,1042.0,
2,1350000.0,9.2,467.0,
4,1675000.0,9.2,667.0,201.0
4,1680000.0,9.2,362.0,200.0
3,1800000.0,9.2,809.0,
4,1550000.0,9.2,707.0,
5,4000000.0,9.2,1364.0,518.0
3,2900000.0,9.2,917.0,
4,2205000.0,9.2,1010.0,250.0
3,1137000.0,9.2,349.0,
3,2100000.0,9.2,949.0,175.0
2,1389000.0,9.2,701.0,
2,685000.0,9.2,177.0,85.0
6,1900000.0,9.2,691.0,5.0
3,1335000.0,9.2,368.0,177.0
3,1600000.0,9.2,760.0,
3,1830000.0,9.2,493.0,
4,1900000.0,9.2,587.0,165.0
5,1500000.0,9.2,605.0,
2,735000.0,9.2,1075.0,
2,1040000.0,9.2,250.0,112.0
3,1520000.0,9.2,622.0,
4,1250000.0,9.2,644.0,153.0
6,1900000.0,9.2,808.0,
5,1875000.0,9.2,842.0,200.0
4,1530000.0,9.2,701.0,198.0
4,1700000.0,9.2,754.0,175.0
3,1238000.0,9.2,186.0,
3,1320000.0,9.2,635.0,
2,560000.0,9.2,0.0,
3,1651000.0,9.2,657.0,151.0
5,1920000.0,9.2,900.0,355.0
5,1560000.0,9.2,845.0,199.0
5,1550000.0,9.2,942.0,
3,1038000.0,9.2,207.0,144.0
5,1660000.0,9.2,737.0,193.0
3,1260000.0,9.2,458.0,
3,2000000.0,9.2,75100.0,
4,2155000.0,9.2,620.0,
3,1225000.0,9.2,282.0,
4,2150000.0,9.2,730.0,
3,1770000.0,9.2,720.0,147.0
2,691500.0,9.2,0.0,102.0
5,1836000.0,9.2,939.0,
2,636000.0,13.0,202.0,
2,1275000.0,13.0,599.0,
3,875000.0,13.0,348.0,121.0
3,895000.0,13.0,362.0,
2,1550000.0,13.0,730.0,
4,1420000.0,13.0,786.0,
3,1425000.0,13.0,613.0,143.0
2,851000.0,13.0,140.0,250.0
3,1222500.0,13.0,299.0,181.0
4,1260000.0,13.0,793.0,
4,2700000.0,13.0,628.0,
3,900000.0,13.0,418.0,
3,1100000.0,13.0,0.0,
7,1005000.0,13.0,607.0,
3,1317500.0,13.0,576.0,127.0
2,360000.0,13.0,0.0,69.0
4,1435000.0,13.0,291.0,212.0
3,1110000.0,13.0,692.0,164.0
4,2435000.0,13.0,795.0,250.0
3,1500000.0,13.0,565.0,222.0
4,1300000.0,13.0,697.0,194.0
2,855000.0,13.0,298.0,
3,1125000.0,13.0,584.0,116.0
3,1135000.0,13.0,627.0,
3,867000.0,13.0,578.0,
4,1328000.0,13.0,610.0,112.0
3,1340000.0,13.0,526.0,135.0
4,1155000.0,13.0,271.0,205.0
3,1275000.0,13.0,758.0,138.0
3,770000.0,13.0,0.0,
2,855000.0,13.0,296.0,103.0
3,1100000.0,13.0,333.0,
2,650000.0,13.0,116.0,92.0
4,1815000.0,13.0,902.0,233.0
4,2255000.0,13.0,557.0,353.0
3,1470000.0,13.0,613.0,
2,420000.0,13.0,1045.0,
2,855000.0,13.0,226.0,475.0
4,1450000.0,13.0,567.0,
3,1200000.0,13.0,590.0,
4,1860000.0,13.0,855.0,197.0
2,725000.0,13.0,227.0,100.0
3,1293000.0,13.0,632.0,108.0
3,1390000.0,13.0,723.0,
3,1400000.0,13.0,699.0,
3,1328000.0,13.0,690.0,245.0
4,1247000.0,13.0,354.0,255.0
3,1311000.0,13.0,592.0,
3,1100000.0,13.0,382.0,
3,1327500.0,13.0,700.0,
4,1560000.0,13.0,695.0,
3,1370000.0,13.0,624.0,143.0
3,1100000.0,13.0,632.0,
4,1385000.0,13.0,576.0,
3,1275000.0,13.0,309.0,
3,1095000.0,13.0,581.0,170.0
2,797500.0,13.0,321.0,
2,725000.0,13.0,677.0,88.0
3,825000.0,13.0,147.0,149.0
3,1235000.0,13.0,0.0,160.0
5,1600000.0,13.0,772.0,
3,1165000.0,13.0,694.0,125.0
4,1355000.0,13.0,591.0,
4,1910000.0,13.0,736.0,284.0
3,1448000.0,13.0,568.0,
2,820000.0,13.0,336.0,109.0
